Index,Average,Standard Deviation
0.0,77.991958,6.3889306901191185
1.0,79.3488516,5.584446872057056
2.0,80.93493480000001,5.021599399731138
3.0,82.3956432,6.020248935480405
4.0,84.545541,6.969775251963582
5.0,92.7147568,9.746817853499522
10.0,95.25638,9.841473385834055
15.0,96.7497148,9.344368820083469
20.0,98.4560828,5.140360587790641
30.0,99.1930412,10.527950548893635
40.0,95.830611,3.237822042902296
50.0,99.26698999999999,6.991608351050565
60.0,93.026006,1.7619660883524393
70.0,92.95794099999999,1.7508427451727366
80.0,95.96707799999999,5.27701253625026
90.0,93.57777519999999,3.4359099480731703
100.0,97.013716,3.9975678118043225
